"ID","Text_enUS","Text_enGB","Text_koKR","Text_frFR","Text_deDE","Text_enCN","Text_zhCN","Text_enTW","Text_Mask"
"1","%s souhlasí s %s.","","","","","","","","8323198"
"2","%s s tebou souhlasí.","","","","","","","","8323198"
"3","Souhlasíš s %s.","","","","","","","","8323198"
"4","%s souhlasí.","","","","","","","","8323198"
"5","Souhlasíš.","","","","","","","","8323198"
"6","%s je v úžasu z %s!","","","","","","","","8323198"
"7","%s je z tebe v úžasu!","","","","","","","","8323198"
"8","Jsi v úžasu z %s!","","","","","","","","8323198"
"9","%s je v úžasu!","","","","","","","","8323198"
"10","Jsi v úžasu!","","","","","","","","8323198"
"11","%s v hněvu pozvedl na %s svou pěst.","","","","","","","","8323198"
"12","%s na tebe pozvedl v hněvu pěst.","","","","","","","","8323198"
"13","V hněvu jsi pozvedl na %s svou pěst.","","","","","","","","8323198"
"14","%s pozvedl v hněvu svou pěst.","","","","","","","","8323198"
"15","Pozvedl jsi v hněvu svou pěst.","","","","","","","","8323198"
"16","%s v hněvu pozvedla svou pěst na %s.","","","","","","","","8323198"
"17","%s v hněvu pozvedla svou pěst na tebe.","","","","","","","","8323198"
"18","%s v hněvu pozvedla svou pěst.","","","","","","","","8323198"
"19","%s se omlouvá %s.  Promiň!","","","","","","","","8323198"
"20","%s se ti omlouvá.  Promiň!","","","","","","","","8323198"
"21","Omlouváš se %s.  Promiň!","","","","","","","","8323198"
"22","%s se všem omlouvá.  Pardon!","","","","","","","","8323198"
"23","omlouváš se všem.  pardon!","","","","","","","","8323198"
"24","%s tleská %s.  Bravo!","","","","","","","","8323198"
"25","%s ti tleská.  Bravo!","","","","","","","","8323198"
"26","Tleskáš %s.  Bravo!","","","","","","","","8323198"
"27","%s tleská.  Bravo!","","","","","","","","8323198"
"28","Tleskáš.  Bravo!","","","","","","","","8323198"
"29","%s se tolik ostýchá...příliž na to, získat pozornost %s.","","","","","","","","8323198"
"30","%s se tolik ostýchá...příliž na to, získat tvou pozornost.","","","","","","","","8323198"
"31","Tolik se ostýcháš...příliž na to, získat pozornost %s.","","","","","","","","8323198"
"32","%s se stydí.","","","","","","","","8323198"
"33","Jsi stydlivý.","","","","","","","","8323198"
"34","%s zve %s.","","","","","","","","8323198"
"35","%s tě zve.","","","","","","","","8323198"
"36","Zveš %s.","","","","","","","","8323198"
"37","%s zve všechny.","","","","","","","","8323198"
"38","Zveš všechny k sobě.","","","","","","","","8323198"
"39","%s prosí %s.  Jak ubohé.","","","","","","","","8323198"
"40","%s tě prosí.  Jak ubohé.","","","","","","","","8323198"
"41","Prosíš %s. Jak ubohé.","","","","","","","","8323198"
"42","%s prosí všechny kolem něj.  Jak ubohé.","","","","","","","","8323198"
"43","Prosíš všechny kolem sebe. Jak ubohé.","","","","","","","","8323198"
"44","%s prosí včechny kolem ní.  Jak ubohé.","","","","","","","","8323198"
"45","%s kousl %s.  Au!","","","","","","","","8323198"
"46","%s tě kousl.  Au!","","","","","","","","8323198"
"47","kousl jsi %s.  Au!","","","","","","","","8323198"
"48","%s poohííží se po někom ke kousání.","","","","","","","","8323198"
"49","Díváš se kolem po něčem k snědku.","","","","","","","","8323198"
"50","Krev se řine z %s ran.","","","","","","","","8323198"
"51","Krev se řine z tvých ran.","","","","","","","","8323198"
"52","%s mrkl na %s.","","","","","","","","8323198"
"53","%s mrkl na tebe.","","","","","","","","8323198"
"54","mrkl jsi na %s.","","","","","","","","8323198"
"55","%s záblesk.","","","","","","","","8323198"
"56","Ty mrkáš svýma očima.","","","","","","","","8323198"
"57","%s se červená na %s.","","","","","","","","8323198"
"58","%s se na tebe červená.","","","","","","","","8323198"
"59","Červenáš se na %s.","","","","","","","","8323198"
"60","%s se červená.","","","","","","","","8323198"
"61","Červenáš se.","","","","","","","","8323198"
"62","%s fláknul %s do kebule.  Ou!","","","","","","","","8323198"
"63","%s tě fláknul do kebule.  Ou!","","","","","","","","8323198"
"64","Fláknul jsi %s do kebule.  Ou!","","","","","","","","8323198"
"65","%s se fláknul do kebule.  Ou!","","","","","","","","8323198"
"66","Fláknul jsi se do kebule.  Ou!","","","","","","","","8323198"
"67","%s fláknul jsi se do kebule.  Ou!","","","","","","","","8323198"
"68","%s je příšerně znuďěn %s.","","","","","","","","8323198"
"69","%s je tebou příšerně znuďěn.","","","","","","","","8323198"
"70","Jsi příšerně znuďěn %s.","","","","","","","","8323198"
"71","%s překonává nudu.  Och, ta lopota!","","","","","","","","8323198"
"72","Překováváš nudu.  Och, ta lopota!","","","","","","","","8323198"
"73","%s skáče nahoru,dolů a vpřed %s.","","","","","","","","8323198"
"74","%s před tebou skáče nahoru a dolů.","","","","","","","","8323198"
"75","Odrážíš se nahoru a dolů před %s.","","","","","","","","8323198"
"76","%s skáče nahoru a dolů.","","","","","","","","8323198"
"77","Skáčeš nahoru a dolů.","","","","","","","","8323198"
"78","%s bude hned zpátky. Zůstaň sedět, %s.","","","","","","","","8323198"
"79","%s bude hned zpátky.  Zůstaňte sedět.","","","","","","","","8323198"
"80","Oznamuješ %s, že budeš hned zpátky.","","","","","","","","8323198"
"81","%s bude hned zpátky.","","","","","","","","8323198"
"82","Oznamuješ všem, že budeš hned zpátky.","","","","","","","","8323198"
"83","% se klaní %.","","","","","","","","8323198"
"84","% se ti klaní.","","","","","","","","8323198"
"85","Skláníš se před %s.","","","","","","","","8323198"
"86","%s se taktně klaní.","","","","","","","","8323198"
"87","Taktně se klaníš.","","","","","","","","8323198"
"88","%s nevychovaně říhá do tváře %s.","","","","","","","","8323198"
"89","%s nevychovaně říhá do tvé tváře.","","","","","","","","8323198"
"90","Nevychovaně si říháš do tváře %s.","","","","","","","","8323198"
"91","%s si hlasitě krknul.","","","","","","","","8323198"
"92","Hlasitě sis grknul.","","","","","","","","8323198"
"93","%s mává a loučí se s %s.  Zboheml!","","","","","","","","8323198"
"94","%s mává a loučí se tebou. Zbohem!","","","","","","","","8323198"
"95","Máváš na rozloučenou s %s.  Zbohem!","","","","","","","","8323198"
"96","%s mává všem na rozloučenou. Sbohem!","","","","","","","","8323198"
"97","Máváš všem na rozloučenou.  Sbohem!","","","","","","","","8323198"
"98","%s šíleně kdáká na %s.","","","","","","","","8323198"
"99","%s vášnivě na tebe kdáká.","","","","","","","","8323198"
"100","Vášnivě štěbetáš na %s.","","","","","","","","8323198"
"101","%s šíleně kdáká.","","","","","","","","8323198"
"102","Šíleně kdákáte.","","","","","","","","8323198"
"103","%s fandí %s!","","","","","","","","8323198"
"104","%s ti fandí.","","","","","","","","8323198"
"105","Fandíš %s.","","","","","","","","8323198"
"106","%s jásá!","","","","","","","","8323198"
"107","Jásáš!","","","","","","","","8323198"
